Rank,Name,Frequency,Year
1,Michael,732,1980
2,Christopher,633,1980
3,David,537,1980
4,Jason,526,1980
5,Ryan,511,1980
6,Robert,363,1980
7,James,360,1980
8,Matthew,336,1980
9,Daniel,311,1980
10,Kevin,305,1980
11,Justin,270,1980
12,Scott,237,1980
13,John,228,1980
14,Mark,225,1980
15,Jeffrey,223,1980
16,Adam,222,1980
17,Bradley,217,1980
18,Steven,210,1980
19,Andrew,207,1980
19,Tyler,207,1980
21,Jonathan,203,1980
22,Travis,171,1980
23,Trevor,168,1980
24,Timothy,166,1980
25,Jeremy,165,1980
26,William,163,1980
27,Joshua,162,1980
28,Chad,156,1980
28,Richard,156,1980
30,Nathan,154,1980
31,Jesse,148,1980
32,Joseph,147,1980
32,Nicholas,147,1980
32,Stephen,147,1980
35,Aaron,145,1980
36,Curtis,138,1980
37,Derek,133,1980
37,Shawn,133,1980
39,Dustin,132,1980
40,Benjamin,130,1980
41,Thomas,128,1980
42,Brian,127,1980
42,Paul,127,1980
44,Cory,126,1980
44,Eric,126,1980
46,Shaun,123,1980
47,Shane,122,1980
48,Sean,121,1980
49,Gregory,116,1980
50,Kyle,110,1980
51,Peter,104,1980
52,Darren,102,1980
53,Colin,100,1980
54,Patrick,99,1980
55,Craig,97,1980
56,Jordan,90,1980
57,Kenneth,85,1980
58,Brent,84,1980
59,Douglas,80,1980
59,Ian,80,1980
61,Anthony,77,1980
61,Cameron,77,1980
63,Clayton,71,1980
64,Brett,69,1980
64,Kelly,69,1980
66,Keith,68,1980
67,Jamie,66,1980
68,Clinton,65,1980
68,Corey,65,1980
70,Joel,64,1980
71,Jeffery,63,1980
72,Cody,59,1980
72,Wesley,59,1980
74,Neil,58,1980
75,Donald,57,1980
75,Lee,57,1980
77,Troy,56,1980
78,Dallas,54,1980
78,Jared,54,1980
78,Todd,54,1980
81,Darcy,53,1980
82,Charles,52,1980
82,Philip,52,1980
84,Bryan,51,1980
85,Brandon,50,1980
85,Graham,50,1980
87,Geoffrey,48,1980
87,Marc,48,1980
89,Alexander,47,1980
89,Micheal,47,1980
91,Sheldon,46,1980
92,Dale,45,1980
93,Blair,44,1980
93,Ronald,44,1980
95,Dennis,43,1980
95,Edward,43,1980
95,Kristopher,43,1980
95,Wayne,43,1980
99,Darryl,42,1980
100,Gordon,41,1980
101,Russell,40,1980
102,Allan,39,1980
103,Alan,38,1980
104,Grant,37,1980
104,Raymond,37,1980
106,Dean,36,1980
106,George,36,1980
106,Mitchell,36,1980
109,Barry,35,1980
109,Gary,35,1980
109,Kurtis,35,1980
109,Robin,35,1980
113,Jacob,34,1980
113,Jay,34,1980
113,Randy,34,1980
116,Terry,33,1980
116,Tyson,33,1980
118,Byron,32,1980
119,Warren,31,1980
120,Adrian,30,1980
120,Brendan,30,1980
122,Kent,29,1980
122,Kirk,29,1980
122,Mathew,29,1980
125,Christian,28,1980
125,Dwayne,28,1980
125,Martin,28,1980
128,Ashley,27,1980
128,Bryce,27,1980
130,Calvin,26,1980
130,Dylan,26,1980
130,Evan,26,1980
130,Samuel,26,1980
130,Vincent,26,1980
135,Blaine,25,1980
136,Duane,24,1980
136,Lance,24,1980
136,Levi,24,1980
136,Luke,24,1980
140,Erik,23,1980
140,Joey,23,1980
140,Lawrence,23,1980
140,Leslie,23,1980
140,Rodney,23,1980
140,Rory,23,1980
146,Casey,22,1980
146,Simon,22,1980
148,Carl,21,1980
148,Devon,21,1980
148,Jonathon,21,1980
148,Lucas,21,1980
148,Phillip,21,1980
148,Stuart,21,1980
154,Bruce,20,1980
154,Danny,20,1980
154,Gerald,20,1980
154,Glen,20,1980
154,Nathaniel,20,1980
154,Terence,20,1980
160,Albert,19,1980
160,Allen,19,1980
160,Jeremiah,19,1980
160,Murray,19,1980
160,Roger,19,1980
160,Wade,19,1980
166,Derrick,18,1980
166,Garrett,18,1980
166,Gavin,18,1980
166,Karl,18,1980
170,Andre,17,1980
170,Arthur,17,1980
170,Kory,17,1980
170,Kurt,17,1980
170,Ross,17,1980
170,Victor,17,1980
170,Zachary,17,1980
177,Beau,16,1980
177,Blake,16,1980
177,Dana,16,1980
177,Darrell,16,1980
177,Daryl,16,1980
177,Tony,16,1980
177,Trent,16,1980
184,Brad,15,1980
184,Chris,15,1980
184,Clifford,15,1980
184,Devin,15,1980
184,Frank,15,1980
184,Lyle,15,1980
184,Morgan,15,1980
184,Nolan,15,1980
184,Norman,15,1980
184,Shayne,15,1980
194,Bobby,14,1980
194,Clint,14,1980
194,Frederick,14,1980
194,Isaac,14,1980
194,Jarrod,14,1980
194,Jody,14,1980
194,Landon,14,1980
194,Steve,14,1980
202,Conrad,13,1980
202,Drew,13,1980
202,Jessie,13,1980
202,Larry,13,1980
202,Marcel,13,1980
202,Owen,13,1980
202,Seth,13,1980
202,Spencer,13,1980
202,Stanley,13,1980
202,Tanner,13,1980
212,Bernard,12,1980
212,Henry,12,1980
212,Lorne,12,1980
212,Neal,12,1980
212,Quentin,12,1980
212,Taylor,12,1980
212,Terrance,12,1980
212,Vernon,12,1980
220,Brendon,11,1980
220,Brock,11,1980
220,Collin,11,1980
220,Duncan,11,1980
220,Garth,11,1980
220,Graeme,11,1980
220,Jean,11,1980
220,Logan,11,1980
220,Nickolas,11,1980
220,Randall,11,1980
220,Riley,11,1980
220,Roderick,11,1980
232,Andy,10,1980
232,Billy,10,1980
232,Courtney,10,1980
232,Denis,10,1980
232,Fraser,10,1980
