Rank,Name,Frequency,Year
1,Jennifer,705,1980
2,Amanda,551,1980
3,Melissa,316,1980
4,Lisa,290,1980
5,Sarah,284,1980
6,Michelle,281,1980
7,Nicole,252,1980
8,Erin,249,1980
9,Angela,215,1980
10,Heather,191,1980
10,Kimberly,191,1980
12,Crystal,175,1980
13,Jessica,168,1980
14,Andrea,166,1980
15,Amy,151,1980
16,Christine,150,1980
17,Stephanie,146,1980
18,Lindsay,144,1980
19,Tara,141,1980
20,Laura,134,1980
21,Melanie,131,1980
21,Shannon,131,1980
23,Amber,127,1980
24,Kelly,123,1980
25,Christina,119,1980
25,Rebecca,119,1980
27,Pamela,116,1980
28,Tanya,102,1980
29,Tracy,100,1980
30,Elizabeth,99,1980
31,Julie,95,1980
32,Danielle,94,1980
33,Jamie,92,1980
34,Katherine,86,1980
35,Cheryl,84,1980
36,Megan,83,1980
37,Tammy,81,1980
38,Jacqueline,79,1980
39,Kristy,77,1980
40,Krista,75,1980
41,Karen,74,1980
42,Patricia,72,1980
43,Leah,69,1980
43,Sara,69,1980
45,Dawn,68,1980
45,Tamara,68,1980
45,Tiffany,68,1980
48,Brandy,65,1980
48,Stacey,65,1980
50,Marie,64,1980
51,Carrie,63,1980
51,Jill,63,1980
53,Catherine,62,1980
54,Candace,61,1980
54,Vanessa,61,1980
56,Kimberley,60,1980
56,Leanne,60,1980
56,Natalie,60,1980
59,Allison,58,1980
59,April,58,1980
61,Kristin,57,1980
61,Mary,57,1980
63,Natasha,56,1980
63,Shauna,56,1980
65,Holly,55,1980
65,Kristen,55,1980
67,Robin,54,1980
68,Rachel,53,1980
68,Susan,53,1980
70,Jolene,52,1980
71,Kathryn,51,1980
72,Carla,49,1980
72,Courtney,49,1980
72,Tina,49,1980
75,Carmen,48,1980
75,Sandra,48,1980
77,Janine,47,1980
77,Robyn,47,1980
79,Alison,46,1980
79,Anna,46,1980
81,Cindy,45,1980
82,Colleen,44,1980
82,Emily,44,1980
84,Deanna,42,1980
84,Wendy,42,1980
86,Candice,41,1980
86,Miranda,41,1980
86,Shelley,41,1980
86,Suzanne,41,1980
90,Alicia,40,1980
90,Jody,40,1980
90,Kristina,40,1980
90,Meghan,40,1980
90,Shawna,40,1980
95,Jodi,39,1980
96,Samantha,38,1980
97,Jenny,37,1980
97,Lindsey,37,1980
97,Lori,37,1980
97,Sabrina,37,1980
101,Brandi,36,1980
101,Erica,36,1980
101,Kathleen,36,1980
104,Dana,35,1980
104,Leslie,35,1980
106,Bonnie,34,1980
106,Julia,34,1980
106,Kendra,34,1980
109,Carly,33,1980
109,Charlene,33,1980
109,Cynthia,33,1980
109,Denise,33,1980
109,Mandy,33,1980
109,Naomi,33,1980
109,Trina,33,1980
116,Aimee,32,1980
116,Barbara,32,1980
116,Joanne,32,1980
116,Renee,32,1980
120,Jocelyn,31,1980
120,Kyla,31,1980
120,Stacy,31,1980
123,Christy,30,1980
123,Maria,30,1980
123,Roxanne,30,1980
123,Sherry,30,1980
123,Theresa,30,1980
128,Anne,29,1980
128,Carolyn,29,1980
128,Heidi,29,1980
128,Janelle,29,1980
128,Jillian,29,1980
128,Linda,29,1980
128,Nancy,29,1980
128,Rhonda,29,1980
128,Trisha,29,1980
128,Victoria,29,1980
138,Anita,28,1980
138,Brianne,28,1980
138,Jaime,28,1980
138,Janice,28,1980
138,Kirsten,28,1980
143,Donna,27,1980
143,Jaclyn,27,1980
143,Rachelle,27,1980
143,Tania,27,1980
147,Caroline,26,1980
147,Kari,26,1980
147,Lana,26,1980
150,Alana,25,1980
150,Diana,25,1980
150,Kara,25,1980
150,Teresa,25,1980
154,Kristine,24,1980
154,Nadine,24,1980
154,Valerie,24,1980
157,Brenda,23,1980
157,Christa,23,1980
157,Kerry,23,1980
157,Monique,23,1980
157,Nadia,23,1980
157,Nichole,23,1980
163,Chantel,22,1980
163,Chantelle,22,1980
163,Katrina,22,1980
163,Kerri,22,1980
163,Laurie,22,1980
163,Lesley,22,1980
163,Monica,22,1980
170,Ashley,21,1980
170,Carol,21,1980
170,Deborah,21,1980
170,Desiree,21,1980
170,Karla,21,1980
170,Katie,21,1980
170,Kelsey,21,1980
170,Misty,21,1980
170,Sheila,21,1980
179,Adrienne,20,1980
179,Brooke,20,1980
179,Janet,20,1980
179,Jessie,20,1980
179,Jodie,20,1980
179,Sheri,20,1980
179,Tasha,20,1980
186,Charity,19,1980
186,Chelsea,19,1980
186,Christie,19,1980
186,Diane,19,1980
186,Elaine,19,1980
186,Gina,19,1980
186,Keri,19,1980
186,Krystal,19,1980
186,Terra,19,1980
186,Veronica,19,1980
196,Amie,18,1980
196,Cara,18,1980
196,Chantal,18,1980
196,Claire,18,1980
196,Lauren,18,1980
196,Margaret,18,1980
196,Terri,18,1980
203,Alanna,17,1980
203,Audrey,17,1980
203,Jasmine,17,1980
203,Joanna,17,1980
203,Tanis,17,1980
203,Toni,17,1980
209,Becky,16,1980
209,Bobbi,16,1980
209,Debbie,16,1980
209,Gillian,16,1980
209,Jana,16,1980
209,Janna,16,1980
209,Kim,16,1980
209,Melody,16,1980
209,Shelly,16,1980
209,Tricia,16,1980
219,Angie,15,1980
219,Connie,15,1980
219,Erika,15,1980
219,Jackie,15,1980
219,Jenna,15,1980
219,Ruth,15,1980
219,Sonya,15,1980
226,Alyssa,14,1980
226,Camille,14,1980
226,Dallas,14,1980
226,Debra,14,1980
226,Fiona,14,1980
226,Genevieve,14,1980
226,Larissa,14,1980
226,Maureen,14,1980
226,Melinda,14,1980
226,Paula,14,1980
226,Roberta,14,1980
226,Sharon,14,1980
238,Alexandra,13,1980
238,Alexis,13,1980
238,Annette,13,1980
238,Cassandra,13,1980
238,Deanne,13,1980
238,Grace,13,1980
238,Irene,13,1980
238,Jacquelyn,13,1980
238,Jane,13,1980
238,Kristi,13,1980
238,Leona,13,1980
238,Lyndsay,13,1980
238,Lynn,13,1980
238,Priscilla,13,1980
238,Serena,13,1980
238,Sherri,13,1980
238,Sheryl,13,1980
238,Tracey,13,1980
238,Virginia,13,1980
257,Alisha,12,1980
257,Beverly,12,1980
257,Brandie,12,1980
257,Breanne,12,1980
257,Chandra,12,1980
257,Charlotte,12,1980
257,Charmaine,12,1980
257,Cherie,12,1980
257,Esther,12,1980
257,Eva,12,1980
257,Helen,12,1980
257,Joy,12,1980
257,Laurel,12,1980
257,Lora,12,1980
257,Martha,12,1980
257,Morgan,12,1980
257,Rochelle,12,1980
274,Angel,11,1980
274,Billie,11,1980
274,Chrystal,11,1980
274,Kathy,11,1980
274,Kristie,11,1980
274,Melisa,11,1980
274,Michele,11,1980
274,Olivia,11,1980
274,Shanna,11,1980
274,Susanne,11,1980
274,Trudy,11,1980
285,Ann,10,1980
285,Arlene,10,1980
285,Beth,10,1980
285,Chelsey,10,1980
285,Cheri,10,1980
285,Dayna,10,1980
285,Ellen,10,1980
285,Jade,10,1980
285,Jayme,10,1980
285,Jeanette,10,1980
285,Jeanine,10,1980
285,Joni,10,1980
285,Joyce,10,1980
285,Judith,10,1980
285,Judy,10,1980
285,Kate,10,1980
285,Kellie,10,1980
285,Lara,10,1980
285,Marina,10,1980
285,Marissa,10,1980
285,Rachael,10,1980
285,Richelle,10,1980
285,Sylvia,10,1980
285,Tabitha,10,1980
309,Beverley,9,1980
309,Corinne,9,1980
309,Dara,9,1980
309,Elissa,9,1980
309,Emma,9,1980
309,Jean,9,1980
309,Kelli,9,1980
309,Kylie,9,1980
309,Louise,9,1980
309,Marcie,9,1980
309,Mindy,9,1980
309,Miriam,9,1980
309,Randi,9,1980
309,Sally,9,1980
309,Sasha,9,1980
309,Shirley,9,1980
309,Sonia,9,1980
309,Vicki,9,1980
309,Vicky,9,1980
328,Alyson,8,1980
328,Angeline,8,1980
328,Carissa,8,1980
328,Colette,8,1980
328,Elisa,8,1980
328,Frances,8,1980
328,Francine,8,1980
328,Glenda,8,1980
328,Hayley,8,1980
328,Jaimie,8,1980
328,Juliana,8,1980
328,Lee,8,1980
328,Liza,8,1980
328,Loni,8,1980
328,Lorraine,8,1980
328,Mackenzie,8,1980
328,Mandi,8,1980
328,Marla,8,1980
328,Meagan,8,1980
328,Penny,8,1980
328,Sandy,8,1980
328,Shari,8,1980
328,Stacie,8,1980
328,Terry,8,1980
352,Abigail,7,1980
352,Alisa,7,1980
352,Angelina,7,1980
352,Annie,7,1980
352,Breanna,7,1980
352,Claudia,7,1980
352,Corinna,7,1980
352,Cristin,7,1980
352,Daisy,7,1980
352,Darlene,7,1980
352,Devon,7,1980
352,Eileen,7,1980
352,Fatima,7,1980
352,Gail,7,1980
352,Jeannette,7,1980
352,Jordan,7,1980
352,Karyn,7,1980
352,Kristyn,7,1980
352,Leanna,7,1980
352,Lynette,7,1980
352,Lynnette,7,1980
352,Marcia,7,1980
352,Marilyn,7,1980
352,Marsha,7,1980
352,Mellisa,7,1980
352,Meredith,7,1980
352,Nikki,7,1980
352,Paige,7,1980
352,Regan,7,1980
352,Rita,7,1980
352,Sharlene,7,1980
352,Sheena,7,1980
352,Sophie,7,1980
352,Susanna,7,1980
352,Tannis,7,1980
352,Teri,7,1980
352,Tonya,7,1980
352,Venessa,7,1980
352,Vivian,7,1980
352,Yvonne,7,1980
392,Adina,6,1980
392,Adriana,6,1980
392,Amelia,6,1980
392,Anastasia,6,1980
392,Betty,6,1980
392,Brianna,6,1980
392,Edith,6,1980
392,Elena,6,1980
392,Emilie,6,1980
392,Ginger,6,1980
392,Hannah,6,1980
392,Helena,6,1980
392,Jami,6,1980
392,Janeen,6,1980
392,Joelle,6,1980
392,Joleen,6,1980
392,Kimberlee,6,1980
392,Kirstin,6,1980
392,Kristal,6,1980
392,Lacey,6,1980
392,Lena,6,1980
392,Lianne,6,1980
392,Lorelei,6,1980
392,Lorna,6,1980
392,Lydia,6,1980
392,Lyndsey,6,1980
392,Marci,6,1980
392,Marianne,6,1980
392,Marlene,6,1980
392,Martina,6,1980
392,Melodie,6,1980
392,Pauline,6,1980
392,Raelene,6,1980
392,Ramona,6,1980
392,Rosa,6,1980
392,Rosanna,6,1980
392,Rosanne,6,1980
392,Shana,6,1980
392,Sophia,6,1980
392,Stefanie,6,1980
392,Tami,6,1980
392,Tammi,6,1980
392,Taryn,6,1980
435,Aileen,5,1980
435,Alice,5,1980
435,Allyson,5,1980
435,Anna-Marie,5,1980
435,Autumn,5,1980
435,Bernadette,5,1980
435,Bethany,5,1980
435,Billie-Jo,5,1980
435,Bobbie,5,1980
435,Bree,5,1980
435,Brenna,5,1980
435,Bridget,5,1980
435,Carley,5,1980
435,Celeste,5,1980
435,Clara,5,1980
435,Constance,5,1980
435,Cora,5,1980
435,Cori,5,1980
435,Corrina,5,1980
435,Darcie,5,1980
435,Darcy,5,1980
435,Dena,5,1980
435,Destiny,5,1980
435,Dominique,5,1980
435,Dorothy,5,1980
435,Elise,5,1980
435,Elisha,5,1980
435,Erinn,5,1980
435,Evelyn,5,1980
435,Faith,5,1980
435,Faye,5,1980
435,Gabrielle,5,1980
435,Gloria,5,1980
435,Ingrid,5,1980
435,Janel,5,1980
435,Janette,5,1980
435,Jayne,5,1980
435,Jennie,5,1980
435,Joan,5,1980
435,Jordana,5,1980
435,Josie,5,1980
435,Justina,5,1980
435,Karina,5,1980
435,Katerina,5,1980
435,Kelley,5,1980
435,Kerrie,5,1980
435,Lee-Ann,5,1980
435,Liana,5,1980
435,Lynda,5,1980
435,Marni,5,1980
435,Mary-Ann,5,1980
435,Meaghan,5,1980
435,Mellissa,5,1980
435,Mona,5,1980
435,Monika,5,1980
435,Nicola,5,1980
