Rank,Name,Frequency,Year
1,Oliver,695,2021
2,Noah,633,2021
3,Jack,459,2021
4,William,458,2021
5,Henry,444,2021
6,Leo,424,2021
7,Lucas,410,2021
8,Theodore,378,2021
9,Levi,339,2021
10,Liam,336,2021
11,Elijah,331,2021
12,Thomas,330,2021
13,Charlie,327,2021
14,Archie,327,2021
15,Hudson,324,2021
16,Luca,317,2021
17,Alexander,314,2021
18,James,310,2021
19,Ethan,285,2021
20,Lachlan,274,2021
21,Oscar,272,2021
22,Harrison,270,2021
23,Isaac,268,2021
24,Cooper,259,2021
25,Max,253,2021
26,George,245,2021
27,Arthur,241,2021
28,Sebastian,240,2021
29,Kai,238,2021
30,Hunter,236,2021
31,Harvey,234,2021
32,Benjamin,234,2021
33,Harry,232,2021
34,Arlo,231,2021
35,Hugo,230,2021
36,Mason,224,2021
37,Jacob,224,2021
38,Archer,214,2021
39,Samuel,210,2021
40,Beau,199,2021
41,Xavier,195,2021
42,Joshua,192,2021
43,Finn,190,2021
44,Joseph,188,2021
45,Ryan,182,2021
46,Edward,173,2021
47,Muhammad,172,2021
48,Louis,169,2021
49,Austin,167,2021
50,Logan,165,2021
51,Daniel,164,2021
52,Adam,163,2021
53,Michael,162,2021
54,Sonny,161,2021
55,Jackson,160,2021
56,Jasper,157,2021
57,Gabriel,157,2021
58,Jordan,153,2021
59,Patrick,152,2021
60,Leon,151,2021
61,Riley,149,2021
62,Aiden,148,2021
63,Carter,147,2021
64,Eli,146,2021
65,Jayden,144,2021
66,Luka,142,2021
67,Ali,142,2021
68,Lincoln,141,2021
69,Theo,134,2021
70,River,133,2021
71,Flynn,129,2021
72,Felix,128,2021
73,Christian,126,2021
74,Leonardo,125,2021
75,Billy,124,2021
76,Zachary,122,2021
77,Asher,122,2021
78,Elias,119,2021
79,Lennox,118,2021
80,Bodhi,118,2021
81,Nicholas,117,2021
82,Angus,115,2021
83,Jude,110,2021
84,Roman,108,2021
85,Vincent,106,2021
86,Matthew,106,2021
87,Ezra,105,2021
88,Ari,105,2021
89,Charles,104,2021
90,Luke,103,2021
91,Spencer,102,2021
92,Ashton,102,2021
93,Zayn,100,2021
94,Koa,100,2021
95,Owen,99,2021
96,Jaxon,99,2021
97,Maxwell,98,2021
98,Isaiah,97,2021
99,Anthony,97,2021
100,Tyler,96,2021
1,Oliver,637,2020
2,Noah,593,2020
3,William,478,2020
4,Leo,420,2020
5,Lucas,409,2020
6,Liam,383,2020
7,Jack,376,2020
8,Henry,374,2020
9,Elijah,371,2020
10,Thomas,351,2020
11,James,344,2020
11,Alexander,344,2020
13,Charlie,335,2020
14,Levi,317,2020
15,Theodore,313,2020
16,Hudson,307,2020
17,Jacob,293,2020
18,Archie,290,2020
19,Ethan,287,2020
20,Harrison,286,2020
21,Mason,270,2020
22,Hunter,264,2020
23,Isaac,259,2020
24,Oscar,245,2020
25,Cooper,243,2020
26,Lachlan,239,2020
27,Luca,238,2020
28,George,231,2020
29,Benjamin,227,2020
30,Harry,223,2020
31,Harvey,222,2020
32,Samuel,221,2020
33,Hugo,212,2020
34,Max,211,2020
35,Archer,209,2020
36,Sebastian,205,2020
37,Arlo,194,2020
38,Logan,193,2020
39,Muhammad,190,2020
39,Finn,190,2020
41,Xavier,183,2020
42,Ryan,182,2020
42,Edward,182,2020
44,Arthur,181,2020
45,Jayden,180,2020
46,Jackson,176,2020
47,Joshua,175,2020
47,Daniel,175,2020
49,Joseph,173,2020
50,Adam,171,2020
50,Kai,171,2020
50,Jordan,171,2020
53,Riley,165,2020
54,Eli,164,2020
55,Louis,163,2020
56,Aiden,161,2020
57,Jasper,158,2020
58,Austin,154,2020
59,Gabriel,150,2020
60,Beau,149,2020
61,Michael,147,2020
62,Lincoln,143,2020
63,Flynn,142,2020
63,Ali,142,2020
65,Carter,141,2020
66,Connor,130,2020
67,Charles,128,2020
67,Sonny,128,2020
67,Spencer,128,2020
70,Jaxon,124,2020
70,Zachary,124,2020
72,Ashton,120,2020
73,Jude,117,2020
74,Patrick,116,2020
74,Luke,116,2020
74,Matthew,116,2020
74,Owen,116,2020
78,Isaiah,113,2020
79,Nicholas,111,2020
79,Luka,111,2020
81,Leonardo,110,2020
82,Christian,109,2020
83,Angus,107,2020
83,Marcus,107,2020
85,Bodhi,106,2020
86,Theo,104,2020
87,Leon,103,2020
87,Asher,103,2020
87,Jake,103,2020
87,Axel,103,2020
91,Caleb,102,2020
91,Ryder,102,2020
93,Dylan,100,2020
94,Dominic,99,2020
94,Ari,99,2020
96,Elias,98,2020
97,Felix,96,2020
97,Vincent,96,2020
97,Lennox,96,2020
97,Anthony,96,2020
1,Oliver,641,2019
2,Noah,573,2019
3,William,531,2019
4,Jack,468,2019
5,Leo,444,2019
6,Lucas,418,2019
7,Henry,376,2019
8,Thomas,370,2019
9,James,363,2019
10,Liam,357,2019
11,Ethan,355,2019
12,Alexander,339,2019
13,Elijah,333,2019
14,Charlie,327,2019
15,Harrison,296,2019
16,Hudson,296,2019
17,Theodore,292,2019
18,Isaac,289,2019
19,Hunter,275,2019
20,Harry,271,2019
21,Levi,269,2019
22,Archie,265,2019
23,Jacob,261,2019
24,Oscar,260,2019
25,Samuel,258,2019
26,Max,253,2019
27,Cooper,249,2019
28,Mason,239,2019
29,Luca,232,2019
30,Harvey,230,2019
31,George,226,2019
32,Lachlan,223,2019
33,Sebastian,223,2019
34,Joshua,217,2019
35,Benjamin,216,2019
36,Ryan,214,2019
37,Xavier,208,2019
38,Daniel,199,2019
39,Hugo,196,2019
40,Adam,189,2019
41,Jayden,189,2019
42,Logan,189,2019
43,Louis,187,2019
44,Arlo,186,2019
45,Muhammad,184,2019
46,Finn,180,2019
47,Jackson,179,2019
48,Archer,176,2019
49,Edward,172,2019
50,Jasper,170,2019
51,Arthur,166,2019
52,Austin,165,2019
53,Michael,165,2019
54,Kai,164,2019
55,Joseph,158,2019
56,Riley,156,2019
57,Ashton,155,2019
58,Connor,154,2019
59,Eli,154,2019
60,Aiden,151,2019
61,Jaxon,147,2019
62,Carter,145,2019
63,Lincoln,145,2019
64,Gabriel,142,2019
65,Jordan,136,2019
66,Nicholas,133,2019
67,Zachary,133,2019
68,Flynn,131,2019
69,Matthew,131,2019
70,Leon,130,2019
71,Christian,128,2019
72,Patrick,127,2019
73,Angus,124,2019
74,Beau,123,2019
75,Owen,122,2019
76,Ali,119,2019
77,Asher,114,2019
78,Bodhi,111,2019
79,Luke,111,2019
80,Dylan,110,2019
81,Felix,110,2019
82,Charles,108,2019
83,Jude,108,2019
84,Marcus,108,2019
85,Luka,105,2019
86,Aaron,103,2019
87,Elias,103,2019
88,Tyler,102,2019
89,Sonny,101,2019
90,Dominic,100,2019
91,Leonardo,99,2019
92,Reuben,97,2019
93,Toby,97,2019
94,Ezra,96,2019
95,Hamish,96,2019
96,Nathaniel,96,2019
97,John,95,2019
98,Spencer,95,2019
99,Isaiah,94,2019
100,Theo,94,2019
1,Oliver,616,2018
2,William,567,2018
3,Noah,539,2018
4,Jack,517,2018
5,Henry,405,2018
6,Thomas,404,2018
7,Lucas,394,2018
8,Liam,383,2018
9,Leo,375,2018
10,Alexander,370,2018
11,James,368,2018
12,Ethan,345,2018
13,Elijah,323,2018
