Rank,Name,Frequency,Year
1,Olivia,493,2021
2,Amelia,489,2021
3,Charlotte,486,2021
4,Isla,439,2021
5,Ava,414,2021
6,Mia,375,2021
7,Grace,367,2021
8,Chloe,335,2021
9,Matilda,326,2021
10,Ella,322,2021
11,Sienna,305,2021
12,Sophia,299,2021
13,Isabella,290,2021
14,Willow,275,2021
15,Lily,266,2021
16,Zoe,264,2021
17,Evie,258,2021
18,Harper,256,2021
19,Audrey,251,2021
20,Sophie,246,2021
21,Evelyn,245,2021
22,Mila,242,2021
23,Sofia,231,2021
24,Ivy,231,2021
25,Ruby,221,2021
26,Aria,219,2021
27,Hazel,210,2021
28,Maya,197,2021
29,Zara,193,2021
30,Lucy,192,2021
31,Florence,188,2021
32,Georgia,188,2021
33,Luna,184,2021
34,Violet,183,2021
35,Emily,182,2021
36,Daisy,182,2021
37,Aurora,182,2021
38,Layla,181,2021
39,Hannah,179,2021
40,Scarlett,178,2021
41,Frankie,176,2021
42,Ellie,167,2021
43,Penelope,165,2021
44,Isabelle,165,2021
45,Emilia,163,2021
46,Ayla,163,2021
47,Poppy,160,2021
48,Eleanor,155,2021
49,Abigail,151,2021
50,Emma,147,2021
51,Eva,142,2021
52,Elsie,141,2021
53,Billie,136,2021
54,Mackenzie,134,2021
55,Freya,134,2021
56,Lola,133,2021
57,Bonnie,130,2021
58,Alice,128,2021
59,Stella,126,2021
60,Remi,126,2021
61,Olive,124,2021
62,Millie,123,2021
63,Eloise,123,2021
64,Harriet,119,2021
65,Elena,119,2021
66,Piper,113,2021
67,Lara,104,2021
68,Eliana,104,2021
69,Addison,103,2021
70,Savannah,102,2021
71,Bella,100,2021
72,Phoebe,99,2021
73,Ariana,99,2021
74,Summer,98,2021
75,Aaliyah,97,2021
76,Sadie,96,2021
77,Rose,94,2021
78,Maeve,92,2021
79,Claire,89,2021
80,Imogen,88,2021
81,Zoey,87,2021
82,Leah,87,2021
83,Jasmine,87,2021
84,Elizabeth,87,2021
85,Anna,87,2021
86,Eden,86,2021
87,Riley,84,2021
88,Pippa,84,2021
89,Nora,83,2021
90,Valentina,82,2021
91,Gabriella,82,2021
92,Charlie,82,2021
93,Quinn,81,2021
94,Hallie,80,2021
95,Delilah,80,2021
96,Sarah,79,2021
97,Lyla,79,2021
98,Eliza,79,2021
99,Adeline,79,2021
100,Molly,78,2021
1,Amelia,514,2020
2,Olivia,476,2020
3,Charlotte,460,2020
4,Mia,420,2020
5,Isla,420,2020
6,Ava,391,2020
7,Chloe,375,2020
8,Grace,323,2020
9,Sophia,302,2020
10,Zoe,301,2020
11,Harper,293,2020
11,Ivy,291,2020
13,Isabella,289,2020
14,Ella,289,2020
15,Sophie,276,2020
16,Sienna,273,2020
17,Matilda,270,2020
18,Willow,266,2020
19,Lily,247,2020
20,Evelyn,245,2020
21,Mila,244,2020
22,Ruby,242,2020
23,Evie,240,2020
24,Layla,220,2020
25,Audrey,210,2020
26,Emily,209,2020
27,Lucy,206,2020
28,Aria,205,2020
29,Hannah,201,2020
30,Hazel,200,2020
31,Georgia,195,2020
32,Zara,192,2020
33,Sofia,190,2020
34,Scarlett,179,2020
35,Ellie,171,2020
36,Emma,170,2020
37,Frankie,166,2020
38,Abigail,164,2020
39,Isabelle,164,2020
39,Florence,157,2020
41,Eva,151,2020
42,Violet,151,2020
42,Emilia,150,2020
44,Elsie,141,2020
45,Eleanor,140,2020
46,Aurora,139,2020
47,Penelope,137,2020
47,Jasmine,136,2020
49,Poppy,135,2020
50,Alice,133,2020
50,Freya,132,2020
50,Maya,131,2020
53,Bonnie,131,2020
54,Stella,127,2020
55,Luna,124,2020
56,Ayla,123,2020
57,Billie,121,2020
58,Elizabeth,119,2020
59,Mackenzie,118,2020
60,Lola,114,2020
61,Eloise,113,2020
62,Harriet,112,2020
63,Savannah,112,2020
63,Aaliyah,111,2020
65,Rose,111,2020
66,Piper,110,2020
67,Daisy,108,2020
67,Lara,106,2020
67,Millie,106,2020
70,Hallie,105,2020
70,Elena,103,2020
72,Ariana,101,2020
73,Sarah,101,2020
74,Sadie,101,2020
74,Anna,100,2020
74,Remi,99,2020
74,Phoebe,97,2020
78,Olive,96,2020
79,Imogen,95,2020
79,Eliana,94,2020
81,Harlow,90,2020
82,Annabelle,89,2020
83,Molly,89,2020
83,Bella,88,2020
85,Addison,86,2020
86,Summer,84,2020
87,Clara,82,2020
87,Claire,81,2020
87,Eliza,81,2020
