Rank,Name,Frequency,Year
1,Mary,639,1920
2,Mary,628,1925
3,Mary,626,1921
4,Mary,594,1922
5,Mary,569,1947
6,Mary,563,1924
7,Mary,562,1932
8,Mary,556,1923
9,Mary,554,1946
10,Mary,535,1944
11,Mary,529,1952
12,Mary,525,1931
13,Mary,522,1927
14,Mary,518,1943
15,Mary,517,1930
16,Mary,516,1948
17,Mary,513,1949
18,Mary,511,1928
19,Mary,510,1933
20,Mary,508,1939
21,Mary,506,1936
22,Mary,505,1940
23,Mary,501,1926
24,Mary,501,1937
25,Linda,498,1948
26,Mary,498,1938
27,Mary,496,1934
28,Mary,496,1942
29,Mary,492,1954
30,Mary,490,1941
31,Mary,485,1935
32,Mary,474,1929
33,Mary,473,1945
34,Linda,466,1947
35,Mary,464,1951
36,Mary,461,1950
37,Mary,460,1953
38,Mary,448,1955
39,Linda,434,1949
40,Mary,430,1957
41,Mary,398,1956
42,Mary,393,1959
43,Mary,381,1958
44,Mary,381,1960
45,Mary,379,1961
46,Linda,350,1951
47,Deborah,340,1956
48,Amanda,333,1979
49,Deborah,332,1953
50,Linda,332,1950
51,Deborah,329,1954
52,Mary,322,1962
53,Linda,308,1952
54,Deborah,305,1957
55,Deborah,301,1955
56,Mary,300,1963
57,Amanda,298,1980
58,Shirley,297,1936
59,Shirley,289,1935
60,Jennifer,287,1976
61,Margaret,284,1946
62,Jennifer,282,1982
63,Joan,282,1942
64,Mary,280,1964
65,Jennifer,275,1981
66,Jennifer,269,1983
67,Donna,266,1959
68,Barbara,262,1948
69,Linda,262,1953
70,Susan,260,1958
71,Lisa,259,1968
72,Linda,258,1954
73,Jennifer,254,1975
74,Margaret,253,1943
75,Jennifer,251,1984
76,Susan,251,1960
77,Jennifer,249,1980
78,Margaret,249,1947
79,Susan,248,1959
80,Susan,248,1961
81,Donna,246,1960
82,Margaret,246,1945
83,Margaret,244,1940
84,Jennifer,242,1978
85,Lisa,240,1967
86,Deborah,239,1958
87,Margaret,239,1942
88,Margaret,238,1920
89,Sharon,238,1946
90,Lisa,236,1969
91,Margaret,236,1944
92,Amanda,233,1981
93,Jennifer,233,1977
94,Jennifer,231,1979
95,Margaret,231,1925
96,Margaret,231,1926
97,Linda,230,1946
98,Susan,230,1957
99,Barbara,227,1947
100,Barbara,227,1949
101,Margaret,227,1936
102,Margaret,226,1950
103,Susan,226,1962
104,Margaret,225,1922
105,Margaret,225,1939
106,Linda,224,1955
107,Shirley,224,1937
108,Sharon,222,1947
109,Susan,222,1956
110,Deborah,220,1952
111,Catherine,218,1958
112,Margaret,218,1949
113,Jennifer,217,1974
114,Catherine,216,1957
115,Catherine,216,1959
116,Ashley,214,1985
117,Jennifer,214,1973
118,Judith,214,1945
119,Sharon,214,1948
120,Ashley,213,1987
121,Karen,212,1966
122,Margaret,211,1941
123,Patricia,211,1947
124,Jessica,210,1990
125,Margaret,210,1937
126,Margaret,210,1938
127,Margaret,210,1951
128,Susan,210,1953
129,Deborah,209,1961
130,Margaret,209,1948
131,Mary,209,1966
132,Melissa,209,1980
133,Susan,209,1964
134,Karen,208,1963
135,Susan,208,1963
136,Karen,207,1965
137,Susan,207,1955
138,Shirley,205,1938
139,Jessica,204,1991
140,Deborah,203,1951
141,Margaret,203,1924
142,Donna,202,1961
143,Lisa,202,1971
144,Margaret,202,1921
145,Donna,201,1947
146,Judith,201,1947
147,Margaret,200,1934
148,Patricia,200,1952
149,Shirley,200,1934
150,Deborah,198,1960
151,Judith,198,1946
152,Karen,198,1964
153,Linda,198,1959
154,Deborah,197,1959
155,Linda,196,1956
156,Margaret,196,1923
157,Margaret,196,1928
158,Donna,195,1956
159,Donna,195,1957
160,Joan,194,1936
161,Mary,194,1965
162,Margaret,193,1927
163,Donna,192,1955
164,Margaret,192,1933
165,Margaret,192,1953
166,Patricia,192,1951
167,Catherine,191,1956
168,Ashley,190,1986
169,Judith,190,1948
170,Amanda,189,1988
171,Ashley,189,1984
172,Lisa,189,1970
173,Margaret,189,1955
174,Susan,189,1954
175,Sandra,188,1947
176,Karen,187,1962
177,Karen,186,1960
178,Dorothy,185,1921
179,Karen,185,1957
180,Karen,185,1959
181,Sharon,185,1949
182,Shirley,185,1939
183,Linda,184,1958
184,Margaret,184,1930
185,Margaret,184,1932
186,Patricia,184,1949
187,Sharon,184,1944
188,Donna,183,1954
189,Judith,183,1949
190,Patricia,183,1953
191,Sarah,183,1986
192,Brenda,182,1962
193,Donna,182,1951
194,Jennifer,182,1972
195,Jessica,182,1992
196,Barbara,181,1952
197,Catherine,181,1962
198,Margaret,181,1935
199,Mary,181,1967
200,Catherine,180,1955
201,Judith,180,1944
202,Margaret,180,1931
203,Patricia,179,1956
204,Donna,178,1963
205,Judith,178,1950
206,Margaret,178,1956
207,Amanda,177,1982
208,Brenda,177,1952
209,Carol,177,1945
210,Margaret,177,1952
211,Melissa,177,1979
212,Donna,176,1946
213,Donna,176,1949
214,Donna,176,1953
215,Donna,176,1958
216,Elizabeth,175,1952
217,Jennifer,175,1985
218,Melissa,175,1981
219,Karen,174,1961
220,Margaret,174,1929
221,Sandra,174,1945
222,Darlene,173,1960
223,Heather,173,1964
224,Patricia,173,1946
225,Sharon,173,1945
226,Susan,173,1952
227,Tanya,173,1974
228,Patricia,172,1955
229,Marie,171,1920
230,Marie,171,1943
231,Patricia,171,1948
232,Brenda,170,1957
233,Catherine,170,1953
234,Jennifer,170,1986
235,Margaret,170,1954
236,Sarah,170,1987
237,Susan,170,1965
238,Amanda,169,1985
239,Catherine,169,1961
240,Elizabeth,169,1939
241,Jessica,169,1993
242,Deborah,168,1962
243,Donna,168,1962
244,Elizabeth,168,1948
245,Margaret,168,1960
246,Patricia,168,1954
247,Brenda,167,1950
248,Joan,167,1941
249,Marie,167,1921
250,Patricia,167,1944
251,Amanda,166,1983
252,Brenda,166,1949
253,Jessica,166,1989
254,Judith,166,1953
255,Margaret,166,1957
256,Patricia,166,1945
257,Patricia,166,1957
258,Barbara,165,1942
259,Carol,165,1947
260,Donna,165,1950
261,Elizabeth,165,1941
262,Heather,165,1959
263,Joan,165,1932
264,Joan,165,1935
265,Marie,165,1931
266,Marie,165,1932
267,Catherine,164,1952
268,Darlene,164,1959
269,Elizabeth,164,1946
270,Joan,164,1940
271,Judith,164,1943
272,Linda,164,1957
273,Lisa,164,1966
274,Marie,164,1923
275,Marie,164,1927
276,Samantha,164,1990
277,Sandra,164,1946
278,Ashley,163,1989
279,Barbara,163,1950
280,Carol,163,1942
281,Darlene,163,1961
282,Dorothy,163,1920
283,Marie,163,1933
284,Patricia,163,1958
285,Ashley,162,1988
286,Marilyn,162,1942
287,Sarah,162,1982
288,Sarah,162,1988
289,Catherine,161,1954
290,Jennifer,161,1971
291,Joan,161,1933
292,Marie,161,1937
293,Catherine,160,1960
294,Lisa,160,1965
295,Michelle,160,1973
296,Margaret,159,1958
297,Marie,159,1934
298,Shirley,159,1933
299,Annie,158,1920
300,Darlene,157,1958
301,Elizabeth,157,1953
302,Elizabeth,157,1954
303,Karen,157,1967
304,Linda,156,1960
305,Marie,156,1922
306,Marie,156,1938
307,Marie,156,1944
308,Tanya,156,1975
309,Elizabeth,155,1947
310,Heather,155,1963
311,Linda,155,1945
312,Marie,155,1928
313,Samantha,155,1989
314,Sharon,155,1951
315,Barbara,154,1951
316,Donna,154,1952
317,Karen,154,1958
318,Lisa,154,1972
319,Marie,154,1924
320,Marie,154,1941
321,Marie,154,1942
322,Shirley,154,1942
323,Amanda,153,1984
324,Ashley,153,1983
325,Barbara,153,1954
326,Joan,153,1937
327,Joan,153,1939
328,Patricia,153,1943
329,Sharon,153,1950
330,Carol,152,1943
331,Deborah,152,1950
332,Dorothy,152,1922
333,Helen,152,1920
334,Helen,152,1925
335,Linda,152,1961
336,Barbara,151,1946
337,Marie,151,1929
338,Michelle,151,1972
339,Patricia,151,1950
340,Patricia,151,1964
341,Carol,150,1946
342,Donna,150,1948
343,Elizabeth,150,1940
344,Elizabeth,150,1951
345,Heather,150,1961
346,Jessica,150,1988
347,Jessica,150,1994
348,Marie,150,1936
349,Melissa,150,1982
350,Patricia,150,1959
351,Sharon,150,1955
352,Elizabeth,149,1955
353,Heather,149,1962
354,Joan,149,1934
355,Margaret,149,1959
356,Michelle,149,1974
357,Patricia,149,1961
358,Patricia,149,1962
359,Sarah,149,1980
360,Amanda,148,1987
361,Brenda,148,1963
362,Carol,148,1941
363,Dorothy,148,1923
364,Marie,148,1926
365,Barbara,147,1955
366,Carol,147,1944
367,Catherine,147,1964
368,Elizabeth,147,1937
369,Karen,147,1956
370,Linda,147,1944
371,Sarah,147,1983
372,Helen,146,1921
373,Joan,146,1938
374,Sandra,146,1948
375,Deborah,145,1963
376,Elizabeth,145,1945
377,Marie,145,1940
378,Barbara,144,1939
379,Heather,144,1965
380,Brenda,143,1961
381,Donna,143,1964
382,Dorothy,143,1931
383,Elizabeth,143,1943
384,Mary,143,1970
385,Nancy,143,1959
386,Sandra,143,1963
387,Tammy,143,1971
388,Tanya,143,1973
389,Debra,142,1955
390,Heather,142,1960
391,Marie,142,1930
392,Marie,142,1935
393,Brenda,141,1956
394,Elizabeth,141,1942
395,Heather,141,1957
396,Jennifer,141,1987
397,Lisa,141,1976
398,Shirley,141,1932
399,Shirley,141,1944
400,Angela,140,1967
401,Elizabeth,140,1932
402,Emma,140,2004
403,Helen,140,1928
404,Nancy,140,1956
405,Nicole,140,1987
406,Sharon,140,1943
407,Angela,139,1978
408,Dorothy,139,1925
409,Elizabeth,139,1949
410,Emma,139,2003
411,Judith,139,1952
412,Sandra,139,1944
413,Sharon,139,1956
414,Shirley,139,1931
415,Susan,139,1951
416,Angela,138,1976
417,Brenda,138,1959
418,Helen,138,1922
419,Melissa,138,1984
420,Nancy,138,1955
421,Patricia,138,1942
422,Shirley,138,1945
423,Susan,138,1966
424,Tracy,138,1971
425,Angela,137,1971
426,Brenda,137,1953
427,Melissa,137,1983
428,Michelle,137,1971
429,Sandra,137,1943
430,Shirley,137,1930
431,Barbara,136,1938
432,Dorothy,136,1924
433,Emily,136,1994
434,Heather,136,1955
435,Joan,136,1946
436,Melissa,136,1978
437,Michelle,136,1970
438,Tanya,136,1976
439,Catherine,135,1963
440,Cynthia,135,1957
441,Elizabeth,135,1944
442,Elizabeth,135,1957
443,Helen,135,1926
444,Jennifer,135,1970
445,Jessica,135,1987
446,Karen,135,1955
447,Marie,135,1925
448,Marie,135,1939
449,Patricia,135,1960
450,Sharon,135,1954
451,Barbara,134,1956
452,Carol,134,1948
453,Carol,134,1949
454,Lisa,134,1974
455,Nancy,134,1954
456,Patricia,134,1941
457,Barbara,133,1943
458,Barbara,133,1957
459,Darlene,133,1962
460,Donna,133,1943
461,Marie,133,1946
462,Nancy,133,1958
463,Sandra,133,1962
464,Sarah,133,1981
465,Shirley,133,1940
466,Shirley,133,1946
467,Barbara,132,1953
468,Donna,132,1945
469,Heather,132,1958
470,Marie,132,1945
471,Tammy,132,1974
472,Angela,131,1970
473,Angela,131,1977
474,Dorothy,131,1930
475,Elizabeth,131,1938
476,Elizabeth,131,1961
477,Judith,131,1954
478,Lisa,131,1973
479,Amanda,130,1989
480,Ashley,130,1990
481,Barbara,130,1934
482,Barbara,130,1941
483,Elizabeth,130,1950
484,Nancy,130,1960
485,Sandra,130,1950
486,Tammy,130,1970
487,Barbara,129,1940
488,Barbara,129,1944
489,Brenda,129,1951
490,Brenda,129,1960
491,Catherine,129,1951
492,Dorothy,129,1927
493,Heather,129,1956
494,Helen,129,1927
495,Helen,129,1930
496,Judith,129,1951
497,Marie,129,1947
498,Amanda,128,1986
499,Annie,128,1924
500,Brenda,128,1954
501,Donna,128,1965
502,Helen,128,1931
503,Judith,128,1942
504,Lisa,128,1978
505,Sandra,128,1949
506,Sarah,128,1985
507,Tammy,128,1972
508,Tracy,128,1970
509,Barbara,127,1945
510,Brenda,127,1964
511,Deborah,127,1964
512,Deborah,127,1965
513,Debra,127,1958
514,Elizabeth,127,1936
515,Heather,127,1953
516,Margaret,127,1961
517,Amanda,126,1978
518,Annie,126,1921
519,Helen,126,1923
520,Marilyn,126,1943
521,Nancy,126,1957
522,Nancy,126,1961
523,Sandra,126,1959
524,Angela,125,1975
525,Brenda,125,1958
526,Donna,125,1944
527,Karen,125,1968
528,Karen,125,1971
529,Linda,125,1962
530,Patricia,125,1966
531,Sandra,125,1961
532,Sharon,125,1952
533,Sharon,125,1953
534,Susan,125,1967
535,Angela,124,1968
536,Emily,124,2001
537,Helen,124,1924
538,Jean,124,1924
539,Marilyn,124,1941
540,Shirley,124,1943
541,Tammy,124,1973
542,Ashley,123,1991
543,Catherine,123,1946
544,Elizabeth,123,1956
545,Joan,123,1931
546,Joan,123,1943
547,Mary,123,1969
548,Shirley,123,1941
549,Annie,122,1922
550,Barbara,122,1935
551,Carol,122,1951
552,Dorothy,122,1926
553,Emily,122,1993
554,Emily,122,1999
555,Emma,122,1999
556,Helen,122,1929
557,Laura,122,1985
558,Nancy,122,1953
559,Patricia,122,1963
560,Patricia,122,1965
561,Sandra,122,1960
562,Sarah,122,1984
563,Sarah,122,1995
564,Angela,121,1973
565,Brittany,121,1992
566,Catherine,121,1950
567,Emily,121,1996
568,Emily,121,2002
569,Emma,121,2002
570,Jean,121,1923
571,Jean,121,1928
572,Jessica,121,1986
573,Joan,121,1945
574,Kelly,121,1971
575,Michelle,121,1969
576,Nicole,121,1985
577,Tammy,121,1975
578,Angela,120,1972
579,Elizabeth,120,1958
580,Janet,120,1954
581,Joan,120,1947
582,Patricia,120,1940
583,Patricia,120,1967
584,Shirley,120,1929
585,Brittany,119,1990
586,Debra,119,1957
587,Elizabeth,119,1959
588,Nancy,119,1963
589,Sarah,119,1989
590,Barbara,118,1960
591,Carol,118,1950
592,Cheryl,118,1962
593,Nancy,118,1952
594,Sandra,118,1942
595,Sarah,118,1990
596,Shirley,118,1928
597,Brittany,117,1989
598,Lisa,117,1975
599,Samantha,117,1992
600,Sarah,117,1992
601,Sarah,117,1993
602,Susan,117,1968
603,Amy,116,1981
604,Annie,116,1928
605,Ashley,116,1992
606,Carol,116,1954
607,Catherine,116,1947
608,Elizabeth,116,1935
609,Emily,116,2000
610,Jessica,116,1985
611,Margaret,116,1962
612,Nicole,116,1986
613,Shirley,116,1947
614,Angela,115,1974
615,Heather,115,1971
616,Helen,115,1935
617,Karen,115,1954
618,Mary,115,1968
619,Nancy,115,1950
620,Sandra,115,1964
621,Shirley,115,1949
622,Brittany,114,1991
623,Donna,114,1966
624,Emily,114,1995
625,Jean,114,1929
626,Karen,114,1953
627,Melissa,114,1985
628,Angela,113,1979
629,Brenda,113,1948
630,Brenda,113,1955
631,Elizabeth,113,1933
632,Elizabeth,113,1962
633,Elizabeth,113,1963
634,Helen,113,1934
635,Jean,113,1925
636,Susan,113,1949
637,Wendy,113,1962
638,Catherine,112,1948
639,Catherine,112,1949
640,Jessica,112,1996
641,Joan,112,1944
642,Kimberly,112,1967
643,Marie,112,1951
644,Marilyn,112,1940
645,Michelle,112,1968
646,Tanya,112,1977
647,Amy,111,1980
648,Cheryl,111,1960
649,Dorothy,111,1929
650,Heather,111,1954
651,Helen,111,1933
652,Helen,111,1936
653,Helen,111,1938
